id,subtaskID,answer
1,1,MATEMATICA MATE-INFO
2,2,2022
120760,3,7.97
120760,4,0
120761,3,6.33
120761,4,1
120762,3,9.15
120762,4,0
120763,3,9.07
120763,4,0
120764,3,6.68
120764,4,0
120765,3,8.7
120765,4,0
120766,3,9.36
120766,4,0
120767,3,9.3
120767,4,0
120768,3,9.32
120768,4,0
120769,3,9.22
120769,4,0
120770,3,9.24
120770,4,0
120771,3,9.16
120771,4,0
120772,3,6.86
120772,4,0
120773,3,9.05
120773,4,0
120774,3,9.32
120774,4,0
120775,3,9.57
120775,4,0
120776,3,9.46
120776,4,0
120777,3,9.41
120777,4,0
120778,3,9.1
120778,4,0
120779,3,9.3
120779,4,0
120780,3,9.13
120780,4,0
120781,3,9.32
120781,4,0
120782,3,9.24
120782,4,0
120783,3,8.95
120783,4,0
120784,3,8.27
120784,4,1
120785,3,9.13
120785,4,1
120786,3,9.56
120786,4,0
120787,3,9.49
120787,4,1
120788,3,8.0
120788,4,0
120789,3,9.25
120789,4,0
120790,3,9.38
120790,4,0
120791,3,8.82
120791,4,0
120792,3,9.45
120792,4,0
120793,3,9.22
120793,4,0
120794,3,9.19
120794,4,0
120795,3,9.57
120795,4,0
120796,3,9.43
120796,4,0
120797,3,9.32
120797,4,0
120798,3,9.34
120798,4,0
120799,3,8.75
120799,4,0
120800,3,9.25
120800,4,0
120801,3,8.9
120801,4,0
120802,3,8.63
120802,4,0
120803,3,9.32
120803,4,0
120804,3,9.04
120804,4,0
120805,3,9.05
120805,4,0
120806,3,9.24
120806,4,0
120807,3,8.85
120807,4,0
120808,3,9.3
120808,4,0
120809,3,9.21
120809,4,0
120810,3,8.49
120810,4,0
120811,3,9.18
120811,4,0
120812,3,9.08
120812,4,0
120813,3,8.89
120813,4,0
120814,3,8.8
120814,4,0
120815,3,9.36
120815,4,0
120816,3,9.33
120816,4,0
120817,3,9.35
120817,4,0
120818,3,9.18
120818,4,0
120819,3,9.32
120819,4,0
120820,3,9.42
120820,4,0
120821,3,9.22
120821,4,0
120822,3,9.25
120822,4,0
120823,3,9.25
120823,4,0
120824,3,9.06
120824,4,0
120825,3,9.13
120825,4,0
120826,3,9.44
120826,4,0
120827,3,9.16
120827,4,0
120828,3,7.06
120828,4,0
120829,3,6.61
120829,4,1
120830,3,4.25
120830,4,1
120831,3,9.2
120831,4,0
120832,3,8.85
120832,4,0
120833,3,8.93
120833,4,0
120834,3,9.52
120834,4,0
