id,subtaskID,answer
1,1,MATEMATICA PED
2,2,2021
120760,3,6.39
120760,4,0
120761,3,5.01
120761,4,0
120762,3,1.52
120762,4,1
120763,3,4.0
120763,4,1
120764,3,7.37
120764,4,1
120765,3,1.51
120765,4,1
120766,3,8.49
120766,4,1
120767,3,1.01
120767,4,1
120768,3,2.65
120768,4,1
120769,3,6.5
120769,4,0
120770,3,4.89
120770,4,0
120771,3,5.72
120771,4,0
120772,3,2.26
120772,4,1
120773,3,9.76
120773,4,0
120774,3,5.1
120774,4,0
120775,3,6.57
120775,4,1
120776,3,5.63
120776,4,1
120777,3,5.2
120777,4,0
120778,3,6.47
120778,4,0
120779,3,5.05
120779,4,1
120780,3,9.54
120780,4,1
120781,3,6.07
120781,4,1
120782,3,3.74
120782,4,0
120783,3,3.08
120783,4,1
120784,3,4.96
120784,4,0
120785,3,6.49
120785,4,1
120786,3,1.31
120786,4,1
120787,3,4.52
120787,4,1
120788,3,6.96
120788,4,1
120789,3,4.83
120789,4,1
120790,3,5.92
120790,4,1
120791,3,1.28
120791,4,1
120792,3,7.98
120792,4,1
120793,3,4.56
120793,4,1
120794,3,6.38
120794,4,1
120795,3,3.94
120795,4,1
120796,3,2.76
120796,4,0
120797,3,9.65
120797,4,0
120798,3,4.5
120798,4,1
120799,3,5.86
120799,4,1
120800,3,4.21
120800,4,1
120801,3,6.46
120801,4,0
120802,3,2.27
120802,4,0
120803,3,2.49
120803,4,0
120804,3,9.88
120804,4,1
120805,3,4.55
120805,4,1
120806,3,1.05
120806,4,0
120807,3,2.79
120807,4,1
120808,3,7.56
120808,4,0
120809,3,6.45
120809,4,1
120810,3,4.23
120810,4,0
120811,3,9.23
120811,4,0
120812,3,6.61
120812,4,1
120813,3,1.86
120813,4,0
120814,3,3.8
120814,4,1
120815,3,6.99
120815,4,1
120816,3,6.74
120816,4,0
120817,3,6.05
120817,4,0
120818,3,2.08
120818,4,1
120819,3,8.64
120819,4,0
120820,3,6.05
120820,4,0
120821,3,3.3
120821,4,0
120822,3,5.7
120822,4,0
120823,3,2.0
120823,4,1
120824,3,1.97
120824,4,0
120825,3,9.06
120825,4,0
120826,3,3.83
120826,4,1
120827,3,7.26
120827,4,0
120828,3,3.24
120828,4,0
120829,3,5.86
120829,4,0
120830,3,3.06
120830,4,1
120831,3,6.39
120831,4,0
120832,3,2.45
120832,4,1
120833,3,6.62
120833,4,1
120834,3,6.7
120834,4,1
120835,3,5.11
120835,4,1
120836,3,2.68
120836,4,1
120837,3,8.95
120837,4,1
120838,3,8.27
120838,4,1
120839,3,4.21
120839,4,1
120840,3,1.99
120840,4,0
120841,3,6.83
120841,4,0
120842,3,8.36
120842,4,0
120843,3,3.74
120843,4,1
120844,3,5.6
120844,4,0
120845,3,5.36
120845,4,0
120846,3,2.08
120846,4,1
120847,3,3.2
120847,4,0
120848,3,3.91
120848,4,1
120849,3,6.02
120849,4,1
120850,3,4.27
120850,4,0
120851,3,3.29
120851,4,1
120852,3,3.27
120852,4,1
120853,3,7.41
120853,4,0
120854,3,3.56
120854,4,0
120855,3,3.4
120855,4,1
120856,3,5.52
120856,4,1
120857,3,1.3
120857,4,1
120858,3,9.17
120858,4,0
120859,3,7.13
120859,4,0
120860,3,5.41
120860,4,1
120861,3,5.98
120861,4,0
120862,3,7.05
120862,4,0
120863,3,4.33
120863,4,0
120864,3,7.55
120864,4,1
120865,3,5.23
120865,4,1
120866,3,6.7
120866,4,0
120867,3,8.35
120867,4,1
120868,3,8.52
120868,4,1
120869,3,5.57
120869,4,1
120870,3,1.37
120870,4,1
120871,3,3.93
120871,4,1
120872,3,1.15
120872,4,0
120873,3,8.29
120873,4,1
120874,3,6.81
120874,4,1
120875,3,9.46
120875,4,1
120876,3,4.48
120876,4,1
120877,3,8.54
120877,4,0
120878,3,4.07
120878,4,0
120879,3,2.88
120879,4,0
120880,3,8.9
120880,4,0
120881,3,3.06
120881,4,1
120882,3,8.35
120882,4,0
120883,3,5.65
120883,4,0
120884,3,3.18
120884,4,1
120885,3,9.69
120885,4,0
120886,3,9.1
120886,4,0
120887,3,2.7
120887,4,0
120888,3,4.14
120888,4,1
120889,3,8.62
120889,4,1
120890,3,8.98
120890,4,1
120891,3,8.99
120891,4,1
120892,3,1.76
120892,4,1
120893,3,8.07
120893,4,1
120894,3,6.46
120894,4,0
120895,3,4.35
120895,4,0
120896,3,6.97
120896,4,0
120897,3,3.56
120897,4,1
120898,3,5.94
120898,4,1
120899,3,5.04
120899,4,0
120900,3,3.02
120900,4,0
120901,3,1.16
120901,4,1
120902,3,3.93
120902,4,1
120903,3,4.3
120903,4,1
120904,3,8.64
120904,4,0
120905,3,3.77
120905,4,1
120906,3,1.84
120906,4,0
120907,3,6.73
120907,4,1
120908,3,3.2
120908,4,1
120909,3,9.81
120909,4,0
120910,3,9.03
120910,4,0
120911,3,4.91
120911,4,0
120912,3,5.52
120912,4,1
120913,3,7.02
120913,4,0
120914,3,2.76
120914,4,0
120915,3,5.49
120915,4,1
120916,3,1.22
120916,4,0
120917,3,1.39
120917,4,1
120918,3,9.46
120918,4,0
120919,3,3.52
120919,4,1
120920,3,4.33
120920,4,0
120921,3,9.58
120921,4,0
120922,3,4.85
120922,4,0
120923,3,6.15
120923,4,1
120924,3,8.68
120924,4,0
120925,3,3.75
120925,4,1
120926,3,8.66
120926,4,1
120927,3,5.37
120927,4,1
120928,3,6.01
120928,4,0
120929,3,8.6
120929,4,0
120930,3,6.13
120930,4,1
120931,3,2.88
120931,4,0
120932,3,9.91
120932,4,1
120933,3,3.29
120933,4,1
120934,3,8.9
120934,4,0
120935,3,8.64
120935,4,0
120936,3,7.32
120936,4,1
120937,3,5.98
120937,4,1
120938,3,8.28
120938,4,0
120939,3,3.31
120939,4,1
120940,3,9.22
120940,4,1
120941,3,1.05
120941,4,1
120942,3,8.18
120942,4,0
120943,3,1.64
120943,4,1
