subtaskID,datapointID,answer
1,0,3529
2,1964,3
2,1128,0
2,37,3
2,1819,1
2,461,2
2,663,2
2,1512,1
2,325,2
2,1315,0
2,442,2
2,724,0
2,172,2
2,1810,2
2,174,1
2,160,0
2,158,0
2,1224,1
2,102,2
2,7,3
2,1500,3
2,441,1
2,1321,3
2,1099,3
2,1353,2
2,1545,3
2,1074,0
2,1590,2
2,576,1
2,713,1
2,997,2
2,1826,1
2,985,1
2,664,1
2,953,1
2,749,2
2,1292,0
2,484,3
2,1924,2
2,730,2
2,1090,0
2,1700,0
2,1301,3
2,612,0
2,55,1
2,1040,3
2,1800,1
2,1091,1
2,35,1
2,1483,0
2,1298,3
2,1559,3
2,81,0
2,1570,2
2,1651,2
2,134,1
2,1679,3
2,1095,2
2,1801,3
2,711,2
2,463,0
2,1110,3
2,1368,1
2,729,3
2,1022,2
2,1849,3
2,1225,3
2,1330,1
2,935,3
2,1889,0
2,1466,2
2,652,0
2,1250,0
2,341,2
2,240,2
2,1413,1
2,1546,0
2,344,3
2,788,1
2,1357,0
2,23,3
2,67,0
2,1084,1
2,1863,2
2,131,3
2,389,3
2,332,2
2,33,3
2,1331,0
2,1123,0
2,285,3
2,896,3
2,1508,3
2,665,0
2,1194,0
2,1348,3
2,1252,3
2,1913,1
2,1756,2
2,1555,3
2,1593,3
2,1865,1
2,437,1
2,548,0
2,1460,2
2,117,0
2,133,1
2,1823,1
2,1709,3
2,410,1
2,157,1
2,723,1
2,1633,2
2,1385,2
2,15,3
2,971,1
2,216,0
2,1670,2
2,1717,1
2,866,0
2,1173,3
2,142,3
2,967,0
2,827,2
2,880,0
2,1431,0
2,51,3
2,178,0
2,558,1
2,1081,2
2,1982,0
2,1720,3
2,169,3
2,600,1
2,959,1
2,1602,1
2,912,0
2,677,3
2,334,0
2,835,3
2,80,3
2,41,2
2,1207,0
2,792,3
2,1642,1
2,744,3
2,1665,0
2,1139,1
2,591,2
2,904,0
2,168,0
2,687,3
2,602,1
2,1532,1
2,750,2
2,1273,2
2,647,0
2,1235,1
2,1455,3
2,200,1
2,798,3
2,941,1
2,884,1
2,353,0
2,1399,2
2,1334,3
2,979,2
2,182,3
2,1379,2
2,1915,0
2,562,3
2,476,2
2,748,1
2,24,3
2,1480,3
2,1177,0
2,996,2
2,849,1
2,1219,2
2,1395,1
2,320,3
2,585,2
2,682,1
2,837,3
2,1549,2
2,1032,1
2,1858,1
2,1753,3
2,1370,3
2,402,3
2,715,2
2,1955,1
2,1680,2
2,1906,2
2,1708,0
2,1484,0
2,16,0
2,927,2
2,411,1
2,1808,1
2,1564,3
2,1232,3
2,1494,1
2,590,0
2,1077,1
2,623,0
2,66,0
2,1929,2
2,1631,2
2,572,2
2,347,0
2,535,3
2,1037,0
2,722,0
2,867,2
2,1960,1
2,1910,3
2,1287,3
2,1757,0
2,454,0
2,1386,2
2,95,1
2,1277,0
2,617,1
2,676,2
2,1606,3
2,1326,3
2,1973,0
2,423,0
2,1055,3
2,627,0
2,318,3
2,1070,0
2,75,3
2,126,2
2,1988,3
2,427,0
2,491,2
2,819,2
2,1010,2
2,1164,1
2,1437,1
2,9,3
2,1962,1
2,768,1
2,372,2
2,307,0
2,394,1
2,1791,3
2,814,1
2,1044,3
2,1354,2
2,231,0
2,1905,2
2,326,0
2,531,2
2,257,2
2,984,1
2,1872,0
2,1159,3
2,1186,2
2,34,2
2,670,3
2,966,0
2,1214,3
2,913,2
2,1050,3
2,1692,0
2,1088,0
2,165,0
2,1429,2
2,1771,2
2,374,3
2,969,0
2,1067,3
2,124,3
2,554,3
2,1516,1
2,356,0
2,1138,2
2,879,0
2,1770,3
2,555,2
2,998,1
2,815,2
2,1216,2
2,1157,0
2,1740,0
2,1078,3
2,1288,0
2,1255,0
2,1310,2
2,1741,3
2,513,2
2,12,3
2,1817,1
2,1247,2
2,263,0
2,543,3
2,79,3
2,1059,0
2,130,1
2,1389,2
2,1976,3
2,909,2
2,359,1
2,304,3
2,533,2
2,1481,3
2,1695,1
2,1731,0
2,1866,2
2,243,3
2,507,2
2,775,1
2,1149,2
2,298,1
2,1375,3
2,1517,3
2,1640,3
2,524,3
2,1452,0
2,440,3
2,85,0
2,1678,0
2,1855,1
2,1029,1
2,1718,3
2,1098,1
2,1805,3
2,1233,1
2,1837,0
2,771,3
2,812,3
2,766,1
2,1051,0
2,706,3
2,248,0
2,527,2
2,281,2
2,933,3
2,1430,2
2,949,0
2,47,3
2,1396,1
2,1548,1
2,409,3
2,704,2
2,1005,3
2,1206,3
2,329,1
2,1384,0
2,1576,0
2,1690,2
2,1240,3
2,225,0
2,1412,1
2,1697,3
2,922,3
2,316,2
2,1658,2
2,1245,0
2,1704,0
2,1721,1
2,1668,0
2,1021,1
2,1026,0
2,291,3
2,214,0
2,297,2
2,705,0
2,397,3
2,900,3
2,1478,0
2,1143,3
2,1772,3
2,1612,3
2,698,0
2,431,3
2,954,2
2,1941,3
2,752,2
2,890,1
2,577,0
2,466,3
2,526,2
2,1881,1
2,1344,1
2,1311,2
2,1503,1
2,4,3
2,539,2
2,592,3
2,801,0
2,921,1
2,1453,1
2,173,1
2,382,2
2,1899,3
2,983,0
2,502,1
2,1195,1
2,373,0
2,741,1
2,1183,1
2,483,0
2,1493,2
2,1916,3
2,1632,2
2,1974,2
2,103,2
2,779,1
2,907,1
2,916,3
2,976,1
2,1397,0
2,1454,2
2,159,0
2,710,0
2,594,2
2,280,3
2,136,1
2,578,0
2,259,2
2,1925,1
2,1213,2
2,545,3
2,352,2
2,1497,2
2,346,3
2,1407,2
2,482,0
2,1565,3
2,400,2
2,784,1
2,522,3
2,789,3
2,897,3
2,1892,1
2,1187,0
2,641,3
2,1820,0
2,398,1
2,1047,3
2,1169,1
2,1268,2
2,164,1
2,633,1
2,625,2
2,847,1
2,910,2
2,1937,0
2,1884,2
2,1340,0
2,381,2
2,1174,3
2,408,3
2,1243,0
2,1940,3
2,432,2
2,122,0
2,1176,0
2,1541,2
2,1520,1
2,1372,2
2,1537,0
2,468,0
2,739,0
2,419,1
2,1060,0
2,1314,1
2,1580,0
2,1578,1
2,764,1
2,689,2
2,1996,3
2,1645,0
2,1141,1
2,1459,2
2,14,0
2,249,2
2,1634,3
2,960,2
2,146,0
2,1522,0
2,448,2
2,1003,2
2,198,1
2,666,0
2,1542,1
2,908,0
2,1306,3
2,1722,0
2,26,3
2,418,1
2,217,1
2,1388,1
2,1253,2
2,882,0
2,470,3
2,765,1
2,1641,3
2,1034,1
2,1609,1
2,1585,2
2,1485,0
2,415,3
2,241,2
2,636,0
2,1316,3
2,1574,2
2,878,2
2,1293,0
2,1901,1
2,1052,3
2,956,3
2,1269,3
2,1137,1
2,1811,2
2,1760,3
2,873,2
2,1018,2
2,1554,0
2,1587,3
2,209,1
2,1918,1
2,1102,1
2,426,1
2,1283,0
2,787,1
2,385,2
2,1824,2
2,278,3
2,806,0
2,1448,1
2,1312,3
2,1317,3
2,981,3
2,1404,1
2,108,2
2,30,3
2,1422,3
2,1270,2
2,1765,2
2,1596,2
2,1410,2
2,1744,1
2,1162,1
2,1984,3
2,684,3
2,599,3
2,1594,1
2,1703,0
2,1933,0
2,978,2
2,755,0
2,1058,2
2,1366,3
2,1845,3
2,1303,0
2,1712,3
2,91,2
2,1181,3
2,1470,1
2,1792,1
2,852,3
2,70,3
2,1239,3
2,1799,1
2,795,2
2,703,0
2,294,0
2,1822,2
2,850,2
2,469,2
2,1807,0
2,656,2
2,378,1
2,246,0
2,1908,3
2,368,3
2,1685,2
2,1325,3
2,793,3
2,697,0
2,782,1
2,1711,0
2,1079,2
2,1743,3
2,604,0
2,556,0
2,1236,3
2,1363,1
2,163,3
2,1336,2
2,1619,3
2,1621,0
2,1355,3
2,1125,3
2,5,1
2,152,1
2,813,1
2,1736,1
2,894,1
2,1853,2
2,1629,2
2,510,2
2,1170,2
2,579,0
2,1227,0
2,1056,3
2,1411,0
2,1305,1
2,1724,1
2,1854,2
2,648,3
2,1421,3
2,1278,2
2,492,2
2,1515,1
2,472,1
2,460,3
2,816,2
2,609,1
2,210,1
2,1761,3
2,252,3
2,186,2
2,1488,2
2,919,2
2,1405,2
2,228,0
2,1870,3
2,1039,0
2,1618,2
2,1885,0
2,269,1
2,1130,3
2,1087,3
2,1827,0
2,1249,2
2,2000,3
2,244,0
2,1131,1
2,293,3
2,119,3
2,550,3
2,28,0
2,1023,1
2,1282,0
2,1742,2
2,673,3
2,1104,2
2,1394,2
2,1308,2
2,1291,3
2,149,2
2,675,2
2,1260,3
2,809,1
2,233,1
2,1172,0
2,1080,1
2,493,2
2,614,0
2,1778,2
2,1085,3
2,1660,0
2,1710,3
2,871,0
2,506,0
2,1242,1
2,1610,3
2,1449,1
